FBtr0303841	FBgn0038069
FBtr0303342	FBgn0039078
FBtr0071309	FBgn0030105
FBtr0087719	FBgn0033831
FBtr0081493	FBgn0011829
FBtr0081494	FBgn0011829
FBtr0081495	FBgn0011829
FBtr0081496	FBgn0011829
FBtr0081492	FBgn0011829
FBtr0071448	FBgn0030200
FBtr0303820	FBgn0261991
FBtr0072037	FBgn0003977
FBtr0082483	FBgn0000147
FBtr0075091	FBgn0036806
FBtr0087959	FBgn0033717
FBtr0087960	FBgn0033717
FBtr0087957	FBgn0033717
FBtr0087958	FBgn0033717
FBtr0072586	FBgn0035168
FBtr0083128	FBgn0038311
FBtr0110811	FBgn0038311
FBtr0075768	FBgn0036398
FBtr0077671	FBgn0031489
FBtr0077672	FBgn0031489
FBtr0300815	FBgn0031489
FBtr0091830	FBgn0053826
FBtr0073204	FBgn0042179
FBtr0076836	FBgn0016036
FBtr0079946	FBgn0005593
FBtr0084432	FBgn0016119
FBtr0305982	FBgn0016119
FBtr0088120	FBgn0003382
FBtr0273343	FBgn0003382
FBtr0082131	FBgn0037744
FBtr0074093	FBgn0053173
FBtr0075587	FBgn0004588
FBtr0305341	FBgn0086681
FBtr0081192	FBgn0032725
FBtr0080199	FBgn0262647
FBtr0088811	FBgn0010504
FBtr0088812	FBgn0010504
FBtr0088813	FBgn0010504
FBtr0088814	FBgn0010504
FBtr0086034	FBgn0027507
FBtr0071450	FBgn0030206
FBtr0307487	FBgn0030206
FBtr0088790	FBgn0011659
FBtr0308953	FBgn0263353
FBtr0113195	FBgn0263353
FBtr0100554	FBgn0040658
FBtr0071038	FBgn0029925
FBtr0088041	FBgn0026573
FBtr0088042	FBgn0026573
FBtr0087557	FBgn0050067
FBtr0087558	FBgn0050067
FBtr0087576	FBgn0005613
FBtr0084176	FBgn0038928
FBtr0306058	FBgn0262813
FBtr0077016	FBgn0022935
FBtr0075842	FBgn0001256
FBtr0075843	FBgn0001256
FBtr0301405	FBgn0001256
FBtr0112401	FBgn0085237
FBtr0073338	FBgn0035537
FBtr0084175	FBgn0025140
FBtr0084174	FBgn0025140
FBtr0308568	FBgn0031031
FBtr0308569	FBgn0031031
FBtr0083266	FBgn0038412
FBtr0088524	FBgn0033428
FBtr0114567	FBgn0033428
FBtr0077257	FBgn0031164
FBtr0085024	FBgn0023178
FBtr0078396	FBgn0037083
FBtr0071202	FBgn0014466
FBtr0076462	FBgn0052038
FBtr0273398	FBgn0035770
FBtr0273399	FBgn0035770
FBtr0085003	FBgn0039417
FBtr0307342	FBgn0039417
FBtr0079473	FBgn0040299
FBtr0079474	FBgn0040299
FBtr0079475	FBgn0040299
FBtr0079476	FBgn0040299
FBtr0301767	FBgn0040299
FBtr0084374	FBgn0039066
FBtr0084375	FBgn0039066
FBtr0074897	FBgn0004852
FBtr0304746	FBgn0004852
FBtr0073558	FBgn0000259
FBtr0073562	FBgn0000259
FBtr0100540	FBgn0000259
FBtr0073560	FBgn0000259
FBtr0073561	FBgn0000259
FBtr0299569	FBgn0000259
FBtr0307896	FBgn0000259
FBtr0308084	FBgn0000259
FBtr0308085	FBgn0000259
FBtr0080591	FBgn0028519
FBtr0080020	FBgn0032246
FBtr0304117	FBgn0032246
FBtr0112436	FBgn0085271
FBtr0300028	FBgn0085271
FBtr0073674	FBgn0030409
FBtr0307897	FBgn0030409
FBtr0307099	FBgn0263083
FBtr0087076	FBgn0026754
FBtr0083801	FBgn0038725
FBtr0083802	FBgn0038725
FBtr0290269	FBgn0038725
FBtr0070025	FBgn0000084
FBtr0301931	FBgn0000084
FBtr0114508	FBgn0030543
FBtr0087449	FBgn0033973
FBtr0085790	FBgn0039851
FBtr0076044	FBgn0036232
FBtr0076994	FBgn0020644
FBtr0089022	FBgn0033154
FBtr0085342	FBgn0039623
FBtr0112726	FBgn0085454
FBtr0076650	FBgn0017430
FBtr0112433	FBgn0085268
FBtr0070071	FBgn0004034
FBtr0073637	FBgn0030373
FBtr0082633	FBgn0038054
FBtr0076020	FBgn0036260
FBtr0088166	FBgn0026385
FBtr0075754	FBgn0036382
FBtr0075755	FBgn0036382
FBtr0074967	FBgn0036892
FBtr0273410	FBgn0036892
FBtr0074899	FBgn0036925
FBtr0100329	FBgn0034903
FBtr0100330	FBgn0034903
FBtr0290120	FBgn0034903
FBtr0306804	FBgn0051464
FBtr0113761	FBgn0039993
FBtr0302409	FBgn0039993
FBtr0302410	FBgn0039993
FBtr0302411	FBgn0039993
FBtr0071007	FBgn0052736
FBtr0071008	FBgn0052736
FBtr0085511	FBgn0003358
FBtr0077752	FBgn0051686
FBtr0073962	FBgn0053177
FBtr0071611	FBgn0034624
FBtr0304945	FBgn0262574
FBtr0083527	FBgn0038548
FBtr0074106	FBgn0001105
FBtr0074107	FBgn0001105
FBtr0074108	FBgn0001105
FBtr0074109	FBgn0001105
FBtr0074110	FBgn0001105
FBtr0074111	FBgn0001105
FBtr0083557	FBgn0038576
FBtr0071096	FBgn0004404
FBtr0074066	FBgn0030659
FBtr0075759	FBgn0036389
FBtr0078439	FBgn0022936
FBtr0088970	FBgn0003460
FBtr0114615	FBgn0032915
FBtr0079058	FBgn0031651
FBtr0080265	FBgn0032376
FBtr0070254	FBgn0029580
FBtr0074597	FBgn0000242
FBtr0074598	FBgn0000242
FBtr0074599	FBgn0000242
FBtr0070003	FBgn0062565
FBtr0086578	FBgn0004168
FBtr0086577	FBgn0004168
FBtr0071250	FBgn0030061
FBtr0080919	FBgn0051739
FBtr0079642	FBgn0031987
FBtr0088045	FBgn0033672
FBtr0299513	FBgn0259101
FBtr0299514	FBgn0259101
FBtr0078774	FBgn0037297
FBtr0078775	FBgn0037297
FBtr0087904	FBgn0033718
FBtr0073780	FBgn0052635
FBtr0078097	FBgn0051920
FBtr0083768	FBgn0038709
FBtr0076001	FBgn0027843
FBtr0087764	FBgn0033810
FBtr0081164	FBgn0002031
FBtr0081165	FBgn0002031
FBtr0301814	FBgn0002031
